Instruction,Input,Output,Category,Subcategory
Create a script in Python to generate the nth term of the Fibonacci series.,,"def Fibonacci(n):
 a = 0
 b = 1
 if n < 0:
  print(""Incorrect input"")
 elif n == 0:
  return a
 elif n == 1:
  return b
 else:
  for i in range(2,n):
   c = a + b
   a = b
   b = c
  return b

print(Fibonacci(5))",Algorithms and Dynamic Programming,fibonacci
Provide a Python program to print out a Pascal triangle,,"""""""
A function to print out a Pascal triangle
""""""

def pascal_triangle(n): 
    # Initialize the row
    row = [1]

    # Calculate each successive row 
    y = [0] 
    for x in range(max(n, 0)): 
        print(row)
		# Compute the next row
        row = [sum(i) for i in zip(row + y, y + row)] 
        # Copy the row
        y = row[:] 
		
if __name__ == '__main__':
    n = 5
    pascal_triangle(n)",Syntax,print
Implement an algorithm in Python to find the mode of the given array,"arr = [2, 4, 3, 3, 5, 3, 7]","def findMode(arr): 
 max_count = 1 
 mode = arr[0] 
 count = 1 
  
 for i in range(1,len(arr)): 
 if (arr[i] == arr[i - 1]): 
 count = count + 1 # increment count
 if (count > max_count): 
 max_count = count # update max_count 
 mode = arr[i] 
 else: 
 count = 1 # reset count 
  
 return mode 

# Driver program 
arr = [2, 4, 3, 3, 5, 3, 7] 
print(findMode(arr)) # prints 3",Scientific Computing,array
Create a Python script to calculate the Fibonacci sequence for a given integer n.,7,"# Fibonacci sequence
def Fibonacci(n):
 a = 0
 b = 1
 if n < 0:
 print(""Incorrect input"")
 elif n == 0:
 return a
 elif n == 1:
 return b
 else:
 for i in range(2,n):
 c = a + b
 a = b
 b = c
 return b

# Driver Program
print(Fibonacci(7)) 
# Output: 13",Mathematics,calculate
Create a basic search engine using Elasticsearch and Python. The search engine should allow users to enter a query and return a list of relevant documents.,,"from elasticsearch import Elasticsearch

# create the client
es = Elasticsearch()

# define the query
query = {
 ""query"": {
 ""match"": {
 ""text"": ""query_term""
 }
 }
}

# search the index
response = es.search(index=""index_name"", body=query)

# print the results
for hit in response[""hits""][""hits""]:
 print(hit[""_source""])",Data Structures,list
Write a function to find length of the subarray having maximum sum.,,"from sys import maxsize 
def max_sub_array_sum(a,size): 
	max_so_far = -maxsize - 1
	max_ending_here = 0
	start = 0
	end = 0
	s = 0
	for i in range(0,size): 
		max_ending_here += a[i] 
		if max_so_far < max_ending_here: 
			max_so_far = max_ending_here 
			start = s 
			end = i 
		if max_ending_here < 0: 
			max_ending_here = 0
			s = i+1
	return (end - start + 1)",Mathematics,sum
Write a function in Python that returns the nth term in a Fibonacci sequence.,,"# Fibonacci sequence generator
def fibonacci(n):
  a = 0
  b = 1
  if n < 0:
    print(""Incorrect input"")
  elif n == 1:
    return a
  elif n == 2:
    return b
  else:
    for i in range(2,n):
      c = a + b
      a = b
      b = c
    return b",Algorithms and Dynamic Programming,fibonacci
Generate a function to print a Fibonacci series with n steps (including 0) in Python.,,"def printFibo(n): 
    a = 0
    b = 1
    if n < 0: 
        print(""Incorrect input"") 
    elif n == 0: 
        print(a) 
    elif n == 1: 
        print(a,b) 
    else: 
        print(a,b,end="" "") 
        for i in range(2,n): 
            c = a + b 
            a = b 
            b = c 
            print(b,end="" "") 

printFibo(10)",Syntax,print
Develop a Python program that prints out the nth Fibonacci number.,,"def fibonacci(n): 
    a = 0
    b = 1
    if n < 0: 
        print(""Incorrect input"") 
    elif n == 0: 
        return a 
    elif n == 1: 
        return b 
    else: 
        for i in range(2,n): 
            c = a + b 
            a = b 
            b = c 
        return b 

print(fibonacci(n))",Syntax,print
Write a Python program that checks if a given number is prime.,7,"def is_prime(n):
    if n == 2 or n == 3:
        return True
    if n < 2 or n%2 == 0:
        return False
    if n < 9:
        return True
    if n%3 == 0:
        return False

    r = int(n**0.5)
    f = 5
    while f <= r:
        if n%f == 0:
            return False
        if n % (f+2) == 0:
            return False
        f += 6
    return True

num = 7
print(""Is"", num, ""prime?: "", is_prime(num))",Branching,if
Create an algorithm in Python to print a pattern consisting of '*' and '#' characters.,,"def pattern(n):
 m = 0
 for i in range(1, n+1):
 for j in range(1, m+1):
 print(""*"", end="""")
 m = m + 2
 
 for k in range(1, n-i+1):
 print(""#"", end="""")
 print()

pattern(5) 
/* Output: 
*#*#*
**#**
***#
****
*/",Syntax,print
Develop an algorithm in Python that takes a number as input and outputs the sum of all its divisors.,6,"def sum_divisors(num):
    # Initialize sum 
    summation = 0
    
    # Iterate upto num 
    for i in range(1, num+1):
        # If num is divisible  
        # by i, add it to sum 
        if num%i == 0:
            summation += i
    # Return summation 
    return summation
  
   
# Driver Code 
num = 6
result = sum_divisors(num) 
  
# Printing result  
print(result)",Mathematics,number
Develop a Python program to check if a number is an Armstrong number.,,"def isArmstrong(x): 
  
    # Calculate the number of 
    # digits in x 
    n = len(str(x)) 
  
    sum1 = 0
  
    # For every digit calculate 
    # its sum of nth power 
    temp = x 
    while temp > 0: 
        d = temp % 10
        sum1 = sum1 + d ** n 
        temp = temp//10
  
    # Check whether sum1 is equal to x 
    if sum1 == x: 
        return True
    return False",Branching,if
Write a python function to find common divisor between two numbers in a given pair.,,"def ngcd(x,y):
    i=1
    while(i<=x and i<=y):
        if(x%i==0 and y%i == 0):
            gcd=i;
        i+=1
    return gcd;
def num_comm_div(x,y):
  n = ngcd(x,y)
  result = 0
  z = int(n**0.5)
  i = 1
  while(i <= z):
    if(n % i == 0):
      result += 2 
      if(i == n/i):
        result-=1
    i+=1
  return result",Mathematics,number
Code an algorithm in Python to compute the Fibonacci sequence.,"A positive integer n.

n = 10","def fibonacci(n): 
    a = 0
    b = 1
    if n < 0: 
        print(""Incorrect input"") 
    elif n == 0: 
        return a 
    elif n == 1: 
        return b 
    else: 
        for i in range(2,n): 
            c = a + b 
            a = b 
            b = c 
        return b 
  
# Driver Program 
print(fibonacci(10)) 

# Output: 55",Algorithms and Dynamic Programming,fibonacci
Create a Python program to print the Fibonacci sequence.,,"def Fibonacci(n): 
    a = 0
    b = 1
    if n < 0: 
        print(""Incorrect input"") 
    elif n == 0: 
        return a 
    elif n == 1: 
        return b 
    else: 
        for i in range(2,n): 
            c = a + b 
            a = b 
            b = c 
        return b 

# Driver Program 

print(Fibonacci(9))",Syntax,print
Write a Python script for developing a simple calculator.,,"import operator

ops = {
 ""+"": operator.add,
 ""-"": operator.sub,
 ""*"": operator.mul,
 ""/"": operator.truediv
}

while True:
 print(""\nEnter 'q' to exit."")
 num1 = input(""\nEnter a number: "")
 if num1 == 'q':
 break
 op = input(""Enter an operator: "")
 num2 = input(""Enter another number: "")
 
 answer = ops[op](float(num1), float(num2))
 print(""The answer is:"", answer)",Scientific Computing,calculator
Write a function to find the longest common prefix in the given set of strings.,,"def common_prefix_util(str1, str2): 
	result = """"; 
	n1 = len(str1) 
	n2 = len(str2) 
	i = 0
	j = 0
	while i <= n1 - 1 and j <= n2 - 1: 
		if (str1[i] != str2[j]): 
			break
		result += str1[i] 
		i += 1
		j += 1
	return (result) 
def common_prefix (arr, n): 
	prefix = arr[0] 
	for i in range (1, n): 
		prefix = common_prefix_util(prefix, arr[i]) 
	return (prefix) ",Syntax,set
Can you write a Python function to determine if a supplied number is prime?,num=20,"def is_prime(num):
    """"""Check if the given number is prime.

    Args:
        num (int): A number to check

    Returns:
        bool: True if num is prime, False otherwise.
    """"""

    if num < 2: 
        return False

    for i in range(2, num):
        if (num % i) == 0:
            return False
    return True

num = 20
result = is_prime(num)
print(f""Is {num} prime? {result}"")",Branching,if
Generate a Python script to generate n distinct prime numbers.,,"import math

def generate_primes(n): 
    primes = []
    num = 2
    while len(primes) < n: 
        is_prime = True
        for i in range(2, int(math.sqrt(num)) + 1): 
            if num % i == 0: 
                is_prime = False
                break

        if is_prime: 
            primes.append(num)

        num += 1
    
    return primes

n = 8
primes = generate_primes(n)
print(primes)",Mathematics,prime
Write a function to check whether the given number is armstrong or not.,,"def armstrong_number(number):
 sum = 0
 times = 0
 temp = number
 while temp > 0:
           times = times + 1
           temp = temp // 10
 temp = number
 while temp > 0:
           reminder = temp % 10
           sum = sum + (reminder ** times)
           temp //= 10
 if number == sum:
           return True
 else:
           return False",Mathematics,number
Create a class in Python that allows for a linked list of strings.,,"class Node:
 def __init__(self, data):
 self.data = data
 self.next = None

class LinkedList:
 def __init__(self):
 self.head = None

def append(self, new_data):
 new_node = Node(new_data)
 if self.head == None:
 self.head = new_node
 return
 last = self.head
 while last.next:
 last = last.next
 last.next = new_node",Object-Oriented Programming,class
Create a program in Python for generating a Fibonacci sequence.,,"# Generate a Fibonacci sequence

# Function to generate Fibonacci sequence
def Fibonacci(n):
    if n < 0:
        print(""Incorrect input"")
    elif n == 1:
        return 0
    elif n == 2:
        return 1
    else:
        return Fibonacci(n-1) + Fibonacci(n-2)

# Print the sequence upto n terms
terms = 10
print(""Fibonacci sequence:"")
for num in range(1, terms + 1):
    print(Fibonacci(num))",Algorithms and Dynamic Programming,fibonacci
Implement a stack in Python using lists.,,"class Stack:
 def __init__(self):
 self.items = []
 
 def isEmpty(self):
 return self.items == []
 
 def push(self, item):
 self.items.append(item)
 
 def pop(self):
 return self.items.pop()
 
 def peek(self):
 return self.items[len(self.items)-1]
 
 def size(self):
 return len(self.items)

stack = Stack()
stack.push(1)
stack.push(2)
print(stack.peek())
print(stack.pop())
print(stack.size())",Data Structures,stack
Write a Python program to access a value from a nested dictionary given its keys.,,"def nested_dict_value(dictionary, keys): 
 for key in keys: 
 if key in dictionary.keys(): 
 dictionary = dictionary[key] 
 else: 
 return None
 
 return dictionary

data = {
""first"" : {
""second"" : {
""third"" : 10
}
}
}

result = nested_dict_value(data, [""first"", ""second"", ""third""])
print(result)",Data Structures,dictionary
Write a Python function to create a Fibonacci sequence up to n-th number.,n=10,"def FibonacciGenerator(n): 
    a = 0
    b = 1
    if n < 0: 
        print(""Incorrect input"") 
    elif n == 0: 
        return a 
    elif n == 1: 
        return b 
    else: 
        for i in range(2,n): 
            c = a + b 
            a = b 
            b = c 
        return b 
  
 
# Driver Program 
print(FibonacciGenerator(10))",Algorithms and Dynamic Programming,fibonacci
Create a Python program that takes a number n and prints out the Fibonacci sequence from 0 to n.,,"def Fibonacci(n): 
 a = 0
 b = 1
 if n < 0: 
 print(""Incorrect input"") 
 elif n == 0: 
 return a 
 elif n == 1: 
 return b 
 else: 
 for i in range(2,n+1): 
 c = a + b 
 a = b 
 b = c 
 return b 

def printFibonacci(n): 
 for i in range(n+1):
 print(Fibonacci(i),end="" "")",Mathematics,number
Create a program in Python for converting an integer number to a Roman numeral.,,"def int_to_Roman(num):
roma_numerals = {
 1: ""I"",
 4: ""IV"",
 5: ""V"",
 9: ""IX"",
 10: ""X"",
 40: ""XL"",
 50: ""L"",
 90: ""XC"",
 100: ""C"",
 400: ""CD"",
 500: ""D"",
 900: ""CM"",
 1000: ""M"",
}

roman_num = """"
for key, value in sorted(roma_numerals.items(), reverse=True):
 while num >= key:
 roman_num += value
 num -= key

return roman_num",Syntax,integer
You need to write a Python program to print the Fibonacci series.,,"def fibonacci_series(n): 
    a = 0
    b = 1
    if n < 0: 
        print(""Incorrect input"") 
    elif n == 0: 
        return a 
    elif n == 1: 
        return b 
    else: 
        for i in range(2, n+1): 
            c = a + b 
            a = b 
            b = c 
        return b 

for n in range(0, 10): 
    print(fibonacci_series(n))",Syntax,print
Create a Python script to print out the most common words in the text.,The quick brown fox jumps over the lazy dog.,"from collections import Counter

text = ""The quick brown fox jumps over the lazy dog.""
words = text.split()

word_counts = Counter(words)
most_common_words = word_counts.most_common()

for word, count in most_common_words:
    print(word, count)
# Output:
# the 2
# quick 1
# brown 1
# fox 1
# jumps 1
# over 1
# lazy 1
# dog 1",Syntax,print
Write a function to find out the minimum no of swaps required for bracket balancing in the given string.,,"def swap_count(s):
	chars = s
	count_left = 0
	count_right = 0
	swap = 0
	imbalance = 0; 
	for i in range(len(chars)):
		if chars[i] == '[':
			count_left += 1
			if imbalance > 0:
				swap += imbalance
				imbalance -= 1
		elif chars[i] == ']':
			count_right += 1
			imbalance = (count_right - count_left) 
	return swap",Data Structures,string
Write a Python script to print the Fibonacci series from 0 to n.,10,"def Fibonacci(n): 
   a = 0
   b = 1
   if n < 0: 
      print(""Incorrect input"") 
   elif n == 0: 
      return a 
   elif n == 1: 
      return b 
   else: 
      for i in range(2,n+1): 
          c = a + b 
          a = b 
          b = c 
      return b 
  
print(Fibonacci(10))",Syntax,print
Write a function to find kth element from the given two sorted arrays.,,"def find_kth(arr1, arr2, m, n, k):
	sorted1 = [0] * (m + n)
	i = 0
	j = 0
	d = 0
	while (i < m and j < n):
		if (arr1[i] < arr2[j]):
			sorted1[d] = arr1[i]
			i += 1
		else:
			sorted1[d] = arr2[j]
			j += 1
		d += 1
	while (i < m):
		sorted1[d] = arr1[i]
		d += 1
		i += 1
	while (j < n):
		sorted1[d] = arr2[j]
		d += 1
		j += 1
	return sorted1[k - 1]",Scientific Computing,array
Create a Python function to print the Fibonacci series up to a given range.,range: 10,"def Fibonacci(n): 
    if n<0: 
        print(""Incorrect input"") 
    # First Fibonacci number is 0 
    elif n==1: 
        return 0
    # Second Fibonacci number is 1 
    elif n==2: 
        return 1
    else: 
        return Fibonacci(n-1)+Fibonacci(n-2) 
   
# Driver Program 
result = []
for i in range(1,10): 
    result.append(Fibonacci(i))
    
print(result)",Syntax,print
Write a Python program to print out a histogram for a list of numbers.,"numbers = [1,2,3,4,5,3,2,1,3,2,5,6,7,5,4]","numbers = [1, 2, 3, 4, 5, 3, 2, 1, 3, 2, 5, 6, 7, 5, 4]

for i in numbers:
    print('*' * i)

# Output should be
# *
# **
# ***
# ****
# *****
# ***
# **
# *
# ***
# **
# *****
# ******
# *******
# *****
# ****",Syntax,print
"Create a function in Python that takes in a number, n, and prints out the nth term of the Fibonacci sequence.",n = 10,"def fibonacci(n):
  a = 0
  b = 1
  if n < 0:
    print(""Incorrect input"")
  elif n == 0:
    return a
  elif n == 1:
    return b
  else:
    for i in range(2,n):
      c = a + b
      a = b
      b = c
    return b
  
print(fibonacci(10))",Mathematics,number
Create an algorithm in Python that computes a Fibonacci sequence up to a given index.,Index: 7,"def fibonacci_seq(n):
    if n < 0:
        raise ValueError(""Index must be a positive integer."")
    elif n == 0:
        return 0
    elif n == 1:
        return 1
    else:
        a = 0
        b = 1
        for i in range(2, n + 1):
            c = a + b
            a = b
            b = c
        return c

fib_7 = fibonacci_seq(7)
print(fib_7)",Algorithms and Dynamic Programming,fibonacci
Generate a list of the first 10 Fibonacci numbers in Python.,,"def fibonacci(n): 
    a = 0
    b = 1
    if n < 0: 
        print(""Incorrect input"") 
    elif n == 0: 
        return a 
    elif n == 1: 
        return b 
    else: 
        for i in range(2,n+1): 
            c = a + b 
            a = b 
            b = c 
        return b 
  
# Driver Program 
fib_list = [] 
for i in range(10):
   fib_list.append(fibonacci(i)) 

print(fib_list)",Data Structures,list
"Create a function to lexicographically compare two strings in
Python.",,"def stringCompare(str1, str2):
    if str1 < str2: 
        return -1
    elif str1 > str2: 
        return 1
    else: 
        return 0

str1 = ""Hello""
str2 = ""World""

result = stringCompare(str1, str2)
if result == -1:
    print (""str1 is less than str2"")
elif result == 1:
    print (""str2 is less than str1"")
else:
    print (""str1 is equal to str2"")",Data Structures,string
Write a function to print the following pattern in Python.,n = 3,"def print_pattern(n): 
  
    # outer loop to handle number of rows 
    for i in range(1,n+1): 
      
        # inner loop to handle number of columns 
        for j in range(1,i+1): 
          
            # printing stars 
            print('* ', end="""") 
       
        # ending line after each row 
        print(""\r"") 
  
# Driver Code 
n = 3
print_pattern(n)

Output:
* 
* * 
* * *",Syntax,print
Create a function in Python to print the first n numbers of the Fibonacci series.,6,"def Fibonacci(n): 
 a = 0
 b = 1
if n<0: 
 print(""Incorrect input"") 
elif n==0: 
 print(a) 
elif n==1: 
 print(b) 
else: 
 print(a)
 print(b)
 for i in range(2,n): 
 c = a + b 
 a = b 
 b = c 
 print(b)",Syntax,print
Develop a program in Python to calculate the Fibonacci sequence.,,"def fibonacci(n): 
    a = 0
    b = 1
    if n < 0: 
        print(""Incorrect input"") 
    elif n == 0: 
        return a 
    elif n == 1: 
        return b 
    else: 
        for i in range(2,n): 
            c = a + b 
            a = b 
            b = c 
        return b 

# Driver Code 
print(fibonacci(9))",Mathematics,calculate
Write a function to find if the given number is abundant or not.,,"import math 
def get_sum(n): 
	sum = 0
	i = 1
	while i <= (math.sqrt(n)): 
		if n%i == 0: 
			if n/i == i : 
				sum = sum + i 
			else: 
				sum = sum + i 
				sum = sum + (n / i ) 
		i = i + 1
	sum = sum - n 
	return sum
def check_abundant(n): 
	if (get_sum(n) > n): 
		return True
	else: 
		return False",Branching,if
Create a custom context class in Python that stores shared data between functions.,,"class Context:
 def __init__(self):
 self.data = {}

 def set(self, key, value):
 self.data[key] = value

 def get(self, key):
 return self.data.get(key)
 
 def clear(self):
 self.data = {}
 
 
context = Context()
 
def foo():
 context.set('name', 'John')
 
def bar():
 print(context.get('name'))
 
 foo()
 bar() # prints 'John'",Object-Oriented Programming,class
Generate code that implements a Fibonacci sequence generator in Python.,,"def fibonacci(n): 
  a = 0
  b = 1
  if n < 0: 
    print(""Incorrect input"") 
  elif n == 0: 
    return a 
  elif n == 1: 
    return b 
  else: 
    for i in range (2,n): 
      c = a + b 
      a = b 
      b = c 
    return b 

# Test the code
fibonacci(9)
# Output: 34",Algorithms and Dynamic Programming,fibonacci
Develop a Python program to generate the first 10 Fibonacci numbers.,,"def Fibonacci(n): 
    a = 0
    b = 1
    if n < 0: 
        print(""Incorrect input"") 
    elif n == 0: 
        return a 
    elif n == 1: 
        return b 
    else: 
        for i in range(2,n+1): 
            c = a + b 
            a = b 
            b = c 
        return b 
  
print(Fibonacci(10))",Algorithms and Dynamic Programming,fibonacci
Generate a Python class to construct a linked list.,,"class Node:
 def __init__(self, data):
 self.data = data
 self.next = None

class LinkedList:
 def __init__(self):
 self.head = None

def append(self, new_data):
 new_node = Node(new_data)
 if self.head == None:
 self.head = new_node
 return
 last = self.head
 while last.next:
 last = last.next
 last.next = new_node",Object-Oriented Programming,class
Write a Python script to compute the Fibonacci sequence.,,"def Fibonacci(n): 
    a = 0
    b = 1
    if n < 0: 
        print(""Incorrect input"") 
    elif n == 0: 
        return a 
    elif n == 1: 
        return b 
    else: 
        for i in range(2,n+1): 
            c = a + b 
            a = b 
            b = c 
        return b 

# Driver Program 
print(Fibonacci(9))",Algorithms and Dynamic Programming,fibonacci
Can you create a program in Python to display the first 10 elements of the Fibonacci Sequence?,,"def Fibonacci(n): 
    a = 0
    b = 1
    if n < 0: 
        print(""Incorrect input"") 
    elif n == 0: 
        return 0
    elif n == 1: 
        return 1
    else: 
        for i in range(2,n+1): 
            c = a + b 
            a = b 
            b = c 
        return b 
for i in range(0, 10):
    print(Fibonacci(i))",Algorithms and Dynamic Programming,fibonacci
"Create a Python program to print the nth Fibonacci number in the sequence, where n is provided as an input.",n = 10,"def Fibonacci(n): 
	a = 0
	b = 1
	if n < 0: 
		print(""Incorrect input"") 
	elif n == 0: 
		return a 
	elif n == 1: 
		return b 
	else: 
		for i in range(2,n+1): 
			c = a + b 
			a = b 
			b = c 
		return b 

print(Fibonacci(10))",Syntax,print
Design an algorithm in Python to calculate the sum of individual digits in a given number.,Number: 12345,"def digitSum(n): 
	sum = 0
 
	# loop until we have no digits left 
	while (n != 0): 
		# extract the last digit 
		dig = n % 10
 
		# add the digit to the total sum 
		sum += dig
 
		# remove the last digit from n 
		n = n // 10
 
	return sum
 
# Driver Code 
n = 12345
sum = digitSum(n) 
 
# Print the result 
print(sum)",Mathematics,calculate
Create a code to print the nth Fibonacci number in Python.,,"def fibonacci_n(n): 
    a = 0
    b = 1
    if n < 0: 
        print(""Incorrect input"") 
    elif n == 0: 
        return a 
    elif n == 1: 
        return b 
    else: 
        for i in range(2,n): 
            c = a + b 
            a = b 
            b = c 
        return b 

n = 9
print(fibonacci_n(n))",Syntax,print
Write a function to calculate the sum of perrin numbers.,,"def cal_sum(n): 
	a = 3
	b = 0
	c = 2
	if (n == 0): 
		return 3
	if (n == 1): 
		return 3
	if (n == 2): 
		return 5
	sum = 5
	while (n > 2): 
		d = a + b 
		sum = sum + d 
		a = b 
		b = c 
		c = d 
		n = n-1
	return sum",Mathematics,calculate
Write a Python program that takes an integer input and prints the Fibonacci series up to the input,10,"def fibonacci(n): 
 a = 0
 b = 1
 if n < 0:
 print(""Incorrect input"")
 elif n == 0:
 return a 
 elif n == 1:
 return b
 else:
 for i in range(2,n+1): 
 c = a + b 
 a = b 
 b = c 
 return b 

n = 10
print(fibonacci(n))

# Output: 55",Syntax,integer
Generate code for a function in Python for finding the sum of a given list of numbers.,"[4, 7, 6, 2]","def add_numbers(numbers):
    """"""
    Find the sum of a given list of numbers.
    Args:
        numbers: a list of numbers.
    Returns:
        The sum of the numbers.
    """"""
    sum = 0

    # Iterate over numbers
    for num in numbers:
        # Add number to total
        sum += num

    return sum

total = add_numbers([4, 7, 6, 2])

print(total)",Mathematics,sum
Create an automated security system using Python and Raspberry Pi.,,"#import necessary modules
import os
import RPi.GPIO as GPIO
import time

#Set up Raspberry pi hardware
GPIO.setmode(GPIO.BCM)
pirPin = 16
GPIO.setup(pirPin, GPIO.IN)

#Define Motion detection task
def detectMotion():
    if GPIO.input(pirPin):
        print('Motion Detected!')
        #Do some action if motion is detected
    time.sleep(1)

#Run task
while True:
    detectMotion()",Mathematics,pi
Generate a Python script to visualize a dataset of four columns.,,"import matplotlib.pyplot as plt
 
# Create the data
x = [1, 2, 3, 4]
y1 = [2, 4, 6, 8]
y2 = [3, 6, 9, 12]
 
# Plot the data
plt.plot(x, y1)
plt.plot(x, y2)
 
# Add a title
plt.title(""Two Lines on One Graph"")
 
# Add X and y Label
plt.xlabel('X Axis')
plt.ylabel('Y Axis')
 
# Add a legend
plt.legend(['Line1', 'Line2'])
 
# Show the plot
plt.show()",Data Analysis,plot
Compose a program in Python to find the sum of an array of integers.,,"# Compose a program in Python to find the sum of an array of integers

def array_sum(arr):
  """"""
  Compute the sum of an array of integers.

  Parameters
  ----------
  arr : array_like
    The array of integers.

  Returns
  -------
  int
    The sum of the array entries.
  """"""
  sum = 0
  for n in arr:
    sum += n
  return sum",Mathematics,sum
Create a data structure in JavaScript to represent a directory structure.,,"const directoryStructure = {
  ""root"": {
    ""Projects"": {
      ""Python"": {
        ""Scripts"": {
          ""script1.py"": null,
          ""script2.py"": null
        }
      },
      ""JavaScript"": {
        ""Scripts"": {
          ""script1.js"": null,
          ""script2.js"": null
        }
      }
    },
    ""Documents"": {
      ""paper1.pdf"": null,
      ""paper2.pdf"": null
    }
  }
};",Data Structures,data structure
Create a Python program to calculate the grade for a student.,"Maths = 85
English = 70
Science = 90","Maths = 85
English = 70
Science = 90

# Calculate the average 
average = (Maths + English + Science) / 3

# Check the grade
if average >= 80:
    grade = 'A'
elif average >= 70:
    grade = 'B'
elif average >= 60:
    grade = 'C'
elif average >= 50:
    grade = 'D'
else:
    grade = 'F'

# Print the grade
print(grade)",Mathematics,calculate
Write a Python script to generate and print a Fibonacci series.,,"def fibonacci(n): 
 a = 0
 b = 1
 if n < 0: 
 print(""Incorrect input"") 
 elif n == 0: 
 return a 
 elif n == 1: 
 return b 
 else: 
 for i in range(2, n): 
 c = a + b 
 a = b 
 b = c 
 return b 

print(fibonacci(9)) 
# 21",Syntax,print
Write a Python program to print out the first 10 numbers in the Fibonacci sequence starting from 0.,,"def Fibonacci(n): 
 a = 0
 b = 1
 if n < 0: 
 print(""Incorrect input"") 
 elif n == 0: 
 return a 
 elif n == 1: 
 return b 
 else: 
 for i in range(2,n): 
 c = a + b 
 a = b 
 b = c 
 return b 

n = 10
print(Fibonacci(n))",Syntax,print
Implement a Python program to print all numbers from 0 to 100 that are multiples of 3.,,"for i in range(0, 101):
  if i % 3 == 0:
    print(i)

# Output
0
3
6
9
12
15
18
21
24
27
30
33
36
39
42
45
48
51
54
57
60
63
66
69
72
75
78
81
84
87
90
93
96
99",Syntax,print
Write a Python class for a queue data structure.,,"class Queue:
    def __init__(self):
        self.items = []
    
    def isEmpty(self):
        return self.items == []
    
    def enqueue(self, item):
        self.items.insert(0,item)
    
    def dequeue(self):
        return self.items.pop()
    
    def size(self):
        return len(self.items)
    
    def peek(self):
        if self.items:
	        return self.items[-1]
        else:
    	    return None",Object-Oriented Programming,class
Implement a Stack in Python using the linked list data structure.,,"class Stack:
 
 def __init__(self):
 self.head = None

 def is_empty(self):
 return self.head is None

 def push(self, data):
 node = Node(data)
 node.next = self.head
 self.head = node

 def pop(self):
 if self.head is None:
 return None
 data = self.head.data
 self.head = self.head.next
 return data

class Node:
 
 def __init__(self, data):
 self.data = data
 self.next = None",Data Structures,stack
Develop a function in Python to print out the Fibonacci sequence up to the given number n.,,"def printFibonacci(n):
    if n<0:
        print('Incorrect input')
    elif n==0:
        print(0)
    elif n==1:
        print(0,1)
    else:
        a=0
        b=1
        print(a)
        print(b)
        for i in range(2,n):
            c=a+b
            a=b
            b=c
            print(c)",Syntax,print
Write a Python program to print out the grade of a student based on the given marks,60,"def get_grade(marks):
    if marks >= 90:
        grade = ""A+""
    elif marks >= 80 and marks < 90:
        grade = ""A""
    elif marks >= 70 and marks < 80:
        grade = ""B+""
    elif marks >= 60 and marks < 70:
        grade = ""B""
    elif marks >= 50 and marks < 60:
        grade = ""C+""
    else:
        grade = ""F""
    
    print(""Grade: %s"" %grade)

marks = 60
get_grade(marks)",Syntax,print
Create a simple web page using HTML and CSS to display a list of the top 5 most popular programming languages.,,"<!DOCTYPE html>
<html>
<head>
 <title>Top 5 Programming Languages</title>
 <style>
 ul {
 list-style: none;
 font-family: sans-serif;
 font-size: 20px;
 }
 li {
 padding-top: 10px;
 }
 </style>
</head>
<body>
 <h1>Top 5 Programming Languages</h1>
 <ul>
 <li>JavaScript</li>
 <li>Python</li>
 <li>Java</li>
 <li>C#</li>
 <li>C++</li>
 </ul>
</body>
</html>",Data Structures,list
Write a Python program which prints the first n terms of the Fibonacci sequence.,n = 10,"def print_fibonacci(n): 
    a = 0
    b = 1
    if n < 0: 
        print(""Incorrect input"")
    elif n == 0: 
        return a 
    elif n == 1: 
        return b 
    else: 
        print(a)
        print(b)
        for i in range(2,n): 
            c = a + b 
            a = b 
            b = c 
            print(c)
    
print_fibonacci(10)",Syntax,print
Create a stack data structure in Python.,,"class Stack:
 
    def __init__(self):
        self.stack = []
 
    # Add to the top of stack
    def push(self, data):
        self.stack.append(data)
 
    # Remove from the top of stack
    def pop(self):
        if self.stack:
            return self.stack.pop()
 
    # Peek top element
    def peek(self):
        return self.stack[-1]
 
    # Check if stack is empty
    def is_empty(self):
        return not bool(self.stack)",Data Structures,stack
Create a stack data structure in Python.,,"class Stack:

    def __init__(self):
        self.items = []
    
    def push(self, item):
        self.items.append(item)
    
    def pop(self):
        if self.items:
            return self.items.pop()
        else:
            return None
    
    def peek(self):
        if self.items:
            return self.items[-1]
        else:
            return None
    
    def size(self):
        return len(self.items)",Data Structures,stack
Can you generate a python program to print out the nth Fibonacci number?,,"def fibonacci(n): 
    a = 0
    b = 1
    if n < 0: 
        print(""Incorrect input"") 
    elif n == 0: 
        return a 
    elif n == 1: 
        return b 
    else: 
        for i in range(2, n): 
            c = a + b 
            a = b 
            b = c 
        return b 

print(fibonacci(n))",Syntax,print
Design an algorithm in Python to check if two strings are anagrams.,,"def is_anagram(str1, str2): 
	
	# Get lengths of both strings 
	n1 = len(str1) 
	n2 = len(str2) 

	# If length of both strings is not same, 
	# then they cannot be anagram 
	if n1 != n2: 
		return 0

	# Sort both strings 
	str1 = sorted(str1) 
	str2 = sorted(str2) 

	# Compare sorted strings 
	for i in range(0, n1): 
		if str1[i] != str2[i]: 
			return 0

	return 1",Branching,if
